index,1,73,74,39,4,33,34,35,22,19,80,81,97
158,Meghalaya,24.3,40.5,41.8,65.2,35.6,15.8,11.7,58.1,54.7,84.9,51.5,86.1
159,Assam,80.9,73.8,83.4,67.2,26.1,25.9,21.1,90.5,81.9,82.3,92.7,86.6
160,Maharashtra,58.4,74.0,78.9,54.6,38.0,39.0,22.2,75.9,66.4,63.6,82.8,71.8
161,Telangana,67.7,91.5,94.3,70.3,33.0,26.3,19.3,87.4,76.1,68.6,98.2,58.0
162,Bihar,34.2,85.0,80.7,66.3,40.0,48.2,31.8,95.8,86.8,69.0,99.6,76.5
163,Madhya Pradesh,63.1,84.6,84.8,66.5,38.7,47.2,27.9,92.9,91.7,74.0,96.0,64.7
164,Chhattisgarh,46.9,75.7,78.6,63.9,25.7,28.0,24.0,80.1,65.8,80.5,93.6,72.8
165,Maharashtra,70.4,89.9,90.5,63.5,27.7,31.3,28.1,97.4,95.0,80.2,98.5,93.0
166,Madhya Pradesh,68.9,81.3,85.8,66.6,40.1,33.0,12.4,82.2,82.2,83.2,98.6,76.0
167,Telangana,67.2,93.2,94.9,60.1,38.3,27.2,10.3,90.0,80.2,81.9,99.7,68.4
168,Uttar Pradesh,52.5,77.2,76.4,43.4,40.5,37.4,21.8,91.9,82.7,66.7,100.0,62.0
169,West Bengal,77.3,71.9,79.7,71.2,28.7,22.5,16.8,97.0,97.0,75.7,99.3,79.2
170,Karnataka,56.4,86.6,84.2,58.5,36.1,36.5,22.9,89.4,77.8,64.1,94.7,64.4
171,Haryana,51.2,93.5,93.3,55.9,28.9,19.5,8.0,85.1,74.4,84.2,97.9,82.3
172,Punjab,63.8,86.0,87.0,56.5,33.8,16.5,9.4,86.8,75.5,90.7,99.8,77.9
173,Assam,51.7,67.7,77.0,71.5,38.5,34.4,18.2,86.3,74.3,74.2,81.2,83.9
174,Assam,35.3,62.6,56.1,64.5,38.9,27.9,18.2,85.3,74.1,59.0,98.2,63.5
175,Uttar Pradesh,36.4,59.9,57.4,44.2,38.3,46.5,26.8,81.5,80.2,70.6,89.6,60.9
176,Tamil Nadu,91.6,95.4,94.5,61.8,32.2,21.6,9.5,94.6,90.7,55.2,95.7,81.1
177,Uttar Pradesh,32.9,67.5,67.5,57.3,51.6,29.8,14.1,91.3,84.7,72.8,100.0,51.3
178,Bihar,27.9,53.9,54.2,54.1,34.2,29.2,21.5,89.6,79.0,60.1,99.9,63.3
179,Arunachal Pradesh,35.4,51.2,52.0,58.5,28.7,17.7,12.4,79.3,70.9,75.1,93.5,62.6
180,Arunachal Pradesh,31.1,56.0,55.4,23.4,21.3,8.8,12.1,77.5,60.3,91.2,96.3,85.3
181,Odisha,82.6,89.2,92.1,60.9,13.2,11.0,10.7,97.9,93.4,60.1,99.5,84.8
182,Uttar Pradesh,48.8,82.4,81.9,46.8,36.2,21.9,9.4,92.6,90.6,78.2,99.7,72.8
183,Jharkhand,34.4,61.5,62.3,69.5,42.2,37.0,21.1,91.5,83.9,71.3,66.7,66.4
184,Rajasthan,52.8,82.3,82.0,54.4,22.3,23.1,20.0,93.5,80.5,77.5,98.1,68.4
185,Nagaland,15.4,28.5,28.5,43.1,34.1,25.7,19.8,73.3,57.5,86.6,76.3,82.0
186,Gujarat,70.9,87.2,87.0,79.7,55.3,53.0,27.8,75.0,68.5,35.9,91.0,56.1
187,The Dadra And Nagar Haveli And Daman And Diu,90.7,93.0,93.1,62.0,33.9,28.5,17.4,100.0,92.9,89.7,99.7,90.8
188,Jammu And Kashmir,79.2,71.3,70.1,76.4,25.7,21.2,15.6,82.1,80.5,48.9,73.4,62.2
189,Telangana,54.8,80.8,86.9,62.0,32.1,37.1,20.0,93.6,87.7,66.7,99.7,59.3
190,Telangana,68.8,85.5,81.9,74.5,38.1,41.1,35.7,96.4,78.2,54.0,93.6,51.7
191,Kerala,68.4,97.5,93.2,43.3,29.7,27.7,21.7,77.0,57.0,99.0,94.7,94.4
192,Haryana,64.1,94.5,92.5,52.8,23.6,12.7,9.2,90.1,83.0,86.7,97.2,87.3
193,Delhi,73.1,84.9,90.1,54.6,33.5,25.5,13.5,89.9,84.4,77.0,99.7,83.5
194,Uttar Pradesh,48.0,60.5,55.7,52.5,47.6,36.3,15.8,78.4,69.5,65.6,99.9,57.5
195,Jammu And Kashmir,75.2,80.1,76.0,75.3,23.2,17.3,18.2,84.1,76.6,77.7,93.3,67.9
196,West Bengal,88.4,74.8,82.5,66.6,28.9,25.4,18.3,96.6,89.5,73.2,95.2,73.6
197,Madhya Pradesh,39.4,79.7,75.9,59.6,39.1,32.8,16.6,92.3,88.0,44.7,83.7,64.4
198,Manipur,87.1,85.4,81.0,36.0,18.4,14.4,11.7,81.9,79.0,59.5,90.2,90.0
199,Punjab,58.4,87.4,88.2,60.8,22.0,16.8,12.0,87.3,80.6,87.8,99.2,74.7
200,Kerala,79.3,91.4,89.5,24.5,15.5,17.0,21.4,89.1,95.6,97.5,95.7,98.2
201,Telangana,69.9,91.2,94.9,70.6,30.4,18.9,17.7,77.9,76.3,84.4,99.6,83.6
202,Bihar,17.1,40.7,42.1,62.6,38.8,41.1,23.9,82.0,70.2,52.4,100.0,48.0
