index1,index,2,District
578,578,Shi Yomi,Hanumakonda
579,579,Erode,Mulugu
580,580,Alwar,Khammam
581,581,Madhubani,Rajanna Sircilla
582,582,Srinagar,Nirmal
583,583,Jharsuguda,Warangal
584,584,Tonk,Jogulamba Gadwal
585,585,South East Delhi,Medchal Malkajgiri
586,586,Upper Siang,Peddapalli
587,587,Doda,Yadadri Bhuvanagiri
588,588,Dhemaji,Narayanpet
589,589,Shahdol,Jangoan
590,590,Barwani,Nizamabad
591,591,Tamenglong,Mahabubnagar
592,592,Aligarh,Mahabubabad
593,593,Osmanabad,Kamareddy
594,594,Baloda Bazar,Suryapet
595,595,Pherzawl,Jagitial
596,596,Khunti,Sangareddy
597,597,West Kameng,Adilabad
598,598,Pratapgarh,Nalgonda
599,599,Khargone,Jayashankar Bhupalapally
600,600,Alirajpur,Kumuram Bheem Asifabad
601,601,S.A.S. Nagar,Siddipet
602,602,Harda,Nagarkurnool
603,603,Kandhamal,Vikarabad
604,604,Udupi,Wanaparthy
605,605,Jabalpur,Karimnagar
606,606,Narayanpur,Ranga Reddy
607,607,Ukhrul,Bhadradri Kothagudem
608,608,Kangra,Medak
609,609,Madhepura,Mancherial
610,610,Alappuzha,Hyderabad
611,611,Patan,Daman
612,612,Purnia,Diu
613,613,Ballia,Dadra And Nagar Haveli
614,614,Amroha,Dhalai
615,615,Madurai,South Tripura
616,616,Thiruvananthapuram,Gomati
617,617,Dhamtari,Unakoti
618,618,Karaikal,West Tripura
619,619,Hazaribagh,Khowai
620,620,Rae Bareli,Sepahijala
621,621,Cuttack,North Tripura
622,622,Dhanbad,Ghaziabad
623,623,South West Khasi Hills,Mau
624,624,Tirap,Ayodhya
625,625,Mainpuri,Auraiya
626,626,Aizawl,Kaushambi
627,627,Kushinagar,Amroha
628,628,Mayurbhanj,Mathura
629,629,Bongaigaon,Jaunpur
630,630,East Nimar,Azamgarh
631,631,Navsari,Barabanki
632,632,Niwari,Sant Kabeer Nagar
633,633,Damoh,Gonda
634,634,Balod,Deoria
635,635,Hingoli,Kasganj
636,636,Ahmadabad,Prayagraj
637,637,Bokaro,Hardoi
638,638,Sawai Madhopur,Bahraich
639,639,Malkangiri,Baghpat
640,640,Hailakandi,Etawah
641,641,Araria,Bareilly
642,642,Gir Somnath,Ballia
643,643,Mahendragarh,Firozabad
644,644,Kamrup Metropolitan,Shahjahanpur
645,645,Jamtara,Etah
646,646,Tawang,Rae Bareli
647,647,Ratnagiri,Saharanpur
648,648,Muzaffarpur,Basti
649,649,Mumbai,Mainpuri
650,650,Katihar,Fatehpur
651,651,Gondiya,Gorakhpur
652,652,Kota,Meerut
653,653,Kasaragod,Mahoba
654,654,Karnal,Hapur
655,655,Umaria,Chitrakoot
656,656,Kabeerdham,Agra
657,657,Shivamogga,Kushi Nagar
658,658,Shahdara,Chandauli
659,659,Bundi,Ambedkar Nagar
660,660,Kakching,Shamli
661,661,Bhind,Siddharth Nagar
662,662,West Delhi,Gautam Buddha Nagar
663,663,Latehar,Unnao
664,664,Kannauj,Sultanpur
665,665,Jayashankar,Shravasti
666,666,Jalaun,Bulandshahr
667,667,Dehradun,Budaun
668,668,Sitapur,Banda
669,669,Sepahijala,Varanasi
670,670,Khowai,Maharajganj
671,671,Lalitpur,Muzaffarnagar
672,672,Amethi,Kanpur Dehat
673,673,Tirupathur,Bijnor
674,674,Virudhunagar,Bhadohi
675,675,North Tripura,Balrampur
676,676,Ramanathapuram,Kannauj
677,677,Kamrup,Farrukhabad
678,678,Sahibganj,Kheri
679,679,Ratlam,Sitapur
680,680,Farrukhabad,Jalaun
681,681,Bulandshahr,Pratapgarh
682,682,Mansa,Rampur
683,683,West Jaintia Hills,Aligarh
684,684,Rewa,Moradabad
685,685,Debagarh,Lucknow
686,686,Thiruvarur,Hathras
687,687,Pathankot,Kanpur Nagar
688,688,Aurangabad,Sonbhadra
689,689,Dindori,Jhansi
690,690,Dewas,Ghazipur
691,691,North East Delhi,Amethi
692,692,Khawzawl,Mirzapur
693,693,Tuensang,Lalitpur
694,694,Saran,Pilibhit
695,695,Aurangabad,Hamirpur
696,696,Tirunelveli,Sambhal
697,697,Sitamarhi,Chamoli
698,698,Gomati,Tehri Garhwal
699,699,Jajapur,Haridwar
700,700,Junagadh,Nainital
701,701,Faridkot,Champawat
702,702,Shajapur,Bageshwar
703,703,Amritsar,Dehradun
704,704,Thoubal,Udam Singh Nagar
705,705,Guna,Pauri Garhwal
706,706,Sehore,Almora
707,707,Hamirpur,Pithoragarh
708,708,Buxar,Rudra Prayag
709,709,Munger,Uttar Kashi
710,710,Gadchiroli,Maldah
711,711,Cuddalore,Medinipur East
712,712,Rajkot,Murshidabad
713,713,Fazilka,Paschim Bardhaman
714,714,Ambedkar Nagar,Jalpaiguri
715,715,Gurdaspur,Howrah
716,716,Mirzapur,Coochbehar
717,717,Bilaspur,Dinajpur Dakshin
718,718,Akola,Purulia
719,719,South Delhi,Alipurduar
720,720,Shrawasti,Kolkata
721,721,Hanumakonda,Medinipur West
722,722,Shupiyan,24 Paraganas South
723,723,Thrissur,Hooghly
724,724,Bageshwar,Kalimpong
725,725,Kalimpong,Purba Bardhaman
726,726,Palghar,Jhargram
727,727,Varanasi,24 Paraganas North
728,728,Vellore,Birbhum
729,729,Muzaffarnagar,Dinajpur Uttar
730,730,Garhwa,Nadia
731,731,Uttarkashi,Bankura
732,732,Pashchim Champaran,Darjeeling
