index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
138,Pauri Garhwal,39.6,66.2,66.2,51.5,24.5,12.9,12.7,87.6,80.4,83.7,96.9,70.9,21.0,17,70.43913043,-0.4914566390804463
139,Longding,39.6,64.0,70.7,44.3,30.0,18.8,12.0,90.2,81.7,83.3,83.5,84.0,24.0,18,70.9,-0.2591993495669943
140,Lohit,39.6,57.1,55.5,37.7,15.8,13.8,20.6,61.5,52.7,83.5,62.5,70.2,21.0,17,70.43913043,-0.8179444104566344
141,Hardoi,39.7,67.0,62.8,61.1,44.5,33.0,22.3,79.0,67.9,55.7,99.9,55.0,38.0,157,65.3,-0.1476000543646569
142,Upper Dibang Valley,40.4,66.2,58.3,67.7,16.9,16.0,18.1,90.7,90.7,95.0,100.0,76.6,21.0,17,70.43913043,-0.3309280883092217
143,Budaun,40.6,62.4,59.4,55.6,51.8,43.0,18.2,86.5,73.1,69.7,99.8,49.7,38.0,157,65.3,0.0171952836565199
144,Gomati,40.6,66.3,68.6,63.2,22.7,29.0,27.6,89.9,75.6,77.4,87.7,77.2,18.0,7,70.43913043,-0.2377620487191127
145,Purbi Singhbhum,40.7,84.0,85.9,69.4,35.9,41.6,29.4,91.9,90.1,70.2,89.7,73.8,25.0,23,69.1,0.2225615741223534
146,Ramgarh,40.9,78.0,75.8,66.7,35.3,35.3,23.5,94.7,84.9,64.2,76.7,71.0,25.0,23,69.1,-0.0534858855886537
149,Shamli,41.0,81.3,75.2,49.5,28.6,27.5,24.3,94.6,93.5,83.3,99.9,64.2,38.0,157,65.3,0.0547853308755469
148,Balrampur,41.0,76.2,73.2,61.8,45.8,37.7,16.2,75.5,70.2,48.0,91.1,49.8,43.0,51,66.5,-0.2300186572904533
147,Sheopur,41.0,62.1,61.3,54.7,41.2,37.2,24.9,74.5,64.7,59.7,99.8,43.2,38.0,157,65.3,-0.2564068951559345
150,Farrukhabad,41.5,72.5,72.0,58.3,47.8,31.1,14.3,85.6,72.2,72.6,99.7,63.1,38.0,157,65.3,0.0617857082119193
151,Khowai,41.5,59.7,62.9,64.8,47.0,24.7,16.6,85.7,60.7,67.8,83.2,80.5,18.0,7,70.43913043,-0.2142325155745479
152,Gonda,41.7,68.6,72.1,51.6,45.9,28.0,12.1,71.4,70.5,44.6,100.0,57.7,38.0,157,65.3,-0.291142768406035
153,Morigaon,42.0,67.9,72.6,71.8,43.2,30.5,16.1,87.0,77.0,62.3,94.6,78.7,36.0,25,66.9,-0.0493837004664901
154,Karauli,42.0,89.4,87.5,60.5,37.6,37.3,26.6,95.9,91.2,49.9,94.8,53.3,32.0,27,68.7,-0.0402710946110382
155,Giridih,42.1,61.3,61.0,63.8,31.9,34.3,27.8,84.4,71.6,59.2,87.6,53.4,25.0,23,69.1,-0.4185622180367194
156,Dholpur,42.4,79.4,84.9,67.4,45.7,31.3,13.7,97.0,89.7,57.5,94.8,57.7,32.0,27,68.7,-0.0588429125353149
157,Shrawasti,42.4,68.3,68.4,46.4,50.9,40.8,20.3,78.1,65.5,58.1,99.3,39.1,38.0,157,65.3,-0.1473371057794292
158,Baghpat,42.4,79.1,82.3,56.5,25.5,26.0,10.3,87.7,86.4,87.0,99.9,76.3,38.0,157,65.3,0.0305956440878126
159,Deoria,42.5,77.2,73.9,39.0,36.8,39.4,26.5,77.4,73.9,69.1,99.8,71.3,38.0,157,65.3,0.1174449539382286
160,Agra,42.7,77.2,75.2,61.4,35.9,26.2,16.4,96.4,75.8,70.8,99.8,63.1,38.0,157,65.3,-0.0381367454981871
161,Karimganj,42.8,63.9,70.2,60.6,29.1,52.9,48.0,85.5,84.2,61.5,62.3,80.7,36.0,25,66.9,0.1752280255095138
162,Bareilly,43.1,70.7,61.7,62.2,40.1,39.4,19.2,95.2,75.0,51.4,79.2,54.9,25.0,23,69.1,-0.3212629070964965
163,Latehar,43.1,75.2,75.4,66.2,45.9,35.2,15.4,88.7,73.0,79.7,100.0,53.9,38.0,157,65.3,0.1225127618784419
164,Hailakandi,43.1,28.6,30.8,54.2,48.7,28.3,9.7,72.3,65.2,75.1,70.6,80.0,29.0,11,70.43913043,-0.4119407028157087
165,West Jaintia Hills,43.1,68.8,70.1,58.1,42.9,42.4,22.2,85.6,77.8,60.0,41.2,82.2,36.0,25,66.9,0.0015412775664063
166,Hamirpur,43.2,87.2,79.0,49.7,48.0,36.3,20.6,92.5,84.5,77.7,99.4,69.4,38.0,157,65.3,0.3643492783077348
167,Mau,43.2,80.0,75.7,53.8,25.4,30.3,21.2,76.7,73.2,75.1,99.8,72.0,38.0,157,65.3,-0.0307689300088484
168,Sant Kabir Nagar,43.2,72.5,75.1,47.1,42.3,34.2,19.0,95.5,85.1,65.1,99.9,61.3,38.0,157,65.3,0.0367767661254456
171,Barpeta,43.6,72.6,71.2,58.4,38.9,39.4,20.1,95.6,92.3,76.8,100.0,54.7,38.0,157,65.3,0.1151635938614812
169,Pilibhit,43.6,60.1,61.6,49.7,47.0,28.8,13.0,82.8,76.6,55.0,98.1,62.8,38.0,157,65.3,-0.2055774112374545
170,Rae Bareli,43.6,70.5,73.9,70.7,29.8,26.2,19.5,83.8,67.5,63.7,98.1,74.8,36.0,25,66.9,-0.2434745600177616
172,Etawah,43.7,79.3,79.5,65.6,38.8,24.3,13.9,92.7,82.2,78.1,99.5,77.4,38.0,157,65.3,0.1731211995877509
173,East District,43.8,65.8,59.2,44.6,17.8,13.0,14.3,0.0,0.0,85.0,93.6,90.1,5.0,4,70.43913043,-0.9277508430000232
174,Amroha,43.9,77.7,79.5,51.7,42.2,35.4,22.5,84.4,78.0,78.9,99.7,61.2,38.0,157,65.3,0.1827948299438023
175,Muzaffarnagar,44.0,88.5,87.3,48.8,29.8,29.9,20.7,77.6,74.1,80.1,99.9,72.1,38.0,157,65.3,0.1214933081725375
176,Kurung Kumey,44.1,73.5,80.0,66.9,38.9,35.4,24.3,90.6,71.9,75.3,90.7,74.1,36.0,25,66.9,0.0931208076039449
177,Goalpara,44.1,62.3,61.1,42.2,29.2,13.9,15.1,89.5,71.4,78.3,99.8,76.0,21.0,17,70.43913043,-0.4654486399903286
178,Almora,44.3,78.1,79.6,31.8,26.0,22.9,17.0,96.3,85.1,89.2,93.3,86.3,24.0,18,70.9,-0.0580483305925358
